DATE,TIME,PLAYERS_COUNT
04-09-20,8:02:36,93
02-09-20,2:49:03,150
04-09-20,8:58:00,69
03-09-20,10:28:51,120
03-09-20,5:15:52,76
04-09-20,4:58:29,120
04-09-20,1:11:18,149
04-09-20,1:12:21,120
02-09-20,6:06:59,117
02-09-20,12:37:50,136
02-09-20,2:23:37,133
02-09-20,12:45:54,46
02-09-20,6:06:12,43
03-09-20,3:56:39,90
02-09-20,8:23:37,145
03-09-20,3:11:02,77
02-09-20,3:28:33,71
03-09-20,8:09:57,106
02-09-20,6:35:15,63
04-09-20,1:31:27,93
02-09-20,1:34:58,143
04-09-20,6:26:13,79
03-09-20,10:51:31,134
03-09-20,2:15:25,79
04-09-20,9:00:04,130
04-09-20,1:15:40,59
02-09-20,1:09:47,56
02-09-20,6:41:33,60
03-09-20,8:50:23,58
03-09-20,4:26:19,47
03-09-20,3:11:11,83
02-09-20,12:26:34,77
04-09-20,7:40:02,62
02-09-20,1:02:48,123
03-09-20,12:23:02,101
02-09-20,2:36:32,111
03-09-20,10:07:44,137
04-09-20,2:54:03,102
04-09-20,9:00:59,101
03-09-20,7:05:52,110
03-09-20,5:07:58,140
03-09-20,4:52:53,100
04-09-20,1:52:13,126
03-09-20,8:10:55,133
04-09-20,4:53:38,110
03-09-20,9:11:22,144
03-09-20,7:27:01,118
02-09-20,4:49:29,129
04-09-20,5:09:10,65
02-09-20,3:28:48,44
04-09-20,9:05:47,44
02-09-20,3:43:38,110
04-09-20,4:16:42,144
02-09-20,2:54:24,71
04-09-20,10:13:56,37
03-09-20,9:14:48,69
03-09-20,4:17:52,65
04-09-20,8:30:06,38
03-09-20,1:15:05,63
04-09-20,4:16:22,87
03-09-20,1:11:11,134
04-09-20,6:10:32,99
02-09-20,12:08:18,61
02-09-20,8:16:33,92
02-09-20,7:34:14,94
02-09-20,4:57:25,105
02-09-20,1:32:11,98
03-09-20,6:28:29,148
04-09-20,9:21:43,40
03-09-20,2:14:36,100
03-09-20,2:39:46,129
04-09-20,9:14:07,60
04-09-20,8:41:07,53
03-09-20,4:52:35,108
03-09-20,7:43:51,139
02-09-20,2:54:46,48
04-09-20,5:43:00,136
04-09-20,5:07:49,40
03-09-20,10:41:33,82
03-09-20,3:32:17,51
03-09-20,5:57:36,58
04-09-20,7:47:55,54
02-09-20,3:42:10,38
04-09-20,10:59:19,71
02-09-20,10:02:25,78
02-09-20,3:15:56,77
02-09-20,3:04:58,96
03-09-20,4:45:58,64
04-09-20,10:14:59,64
04-09-20,6:53:23,99
04-09-20,2:23:28,146
02-09-20,1:14:51,80
04-09-20,1:35:03,125
03-09-20,9:22:11,118
04-09-20,5:41:19,108
03-09-20,1:56:47,128
03-09-20,12:29:43,129
03-09-20,6:33:47,69
03-09-20,12:40:59,134
04-09-20,9:15:01,79
