DATE,TIME,PLAYERS_COUNT
02-09-20,1:00:00,110
02-09-20,1:15:00,85
02-09-20,1:30:00,93
02-09-20,1:45:00,56
02-09-20,2:00:00,105
02-09-20,2:15:00,140
02-09-20,2:30:00,65
02-09-20,2:45:00,36
02-09-20,3:00:00,148
02-09-20,3:15:00,78
02-09-20,3:30:00,34
02-09-20,3:45:00,150
02-09-20,4:00:00,56
02-09-20,4:15:00,70
02-09-20,4:30:00,42
02-09-20,4:45:00,45
02-09-20,5:00:00,91
02-09-20,5:15:00,35
02-09-20,5:30:00,136
02-09-20,5:45:00,60
02-09-20,6:00:00,131
02-09-20,6:15:00,54
02-09-20,6:30:00,34
02-09-20,6:45:00,34
02-09-20,7:00:00,42
02-09-20,7:15:00,90
02-09-20,7:30:00,96
02-09-20,7:45:00,101
02-09-20,8:00:00,44
02-09-20,8:15:00,58
02-09-20,8:30:00,126
02-09-20,8:45:00,104
02-09-20,9:00:00,78
02-09-20,9:15:00,34
02-09-20,9:30:00,83
02-09-20,9:45:00,132
02-09-20,10:00:00,135
02-09-20,10:15:00,119
02-09-20,10:30:00,108
02-09-20,10:45:00,37
02-09-20,11:00:00,96
02-09-20,11:15:00,139
02-09-20,11:30:00,93
02-09-20,11:45:00,72
02-09-20,12:00:00,106
03-09-20,1:00:01,64
03-09-20,1:15:01,45
03-09-20,1:30:01,53
03-09-20,1:45:01,133
03-09-20,2:00:01,91
03-09-20,2:15:01,110
03-09-20,2:30:01,51
03-09-20,2:45:01,58
03-09-20,3:00:01,99
03-09-20,3:15:01,70
03-09-20,3:30:01,88
03-09-20,3:45:01,44
03-09-20,4:00:01,122
03-09-20,4:15:01,145
03-09-20,4:30:01,74
03-09-20,4:45:01,108
03-09-20,5:00:01,66
03-09-20,5:15:01,50
03-09-20,5:30:01,124
03-09-20,5:45:01,41
03-09-20,6:00:01,83
03-09-20,6:15:01,129
03-09-20,6:30:01,129
03-09-20,6:45:01,143
03-09-20,7:00:01,34
03-09-20,7:15:01,116
03-09-20,7:30:01,86
03-09-20,7:45:01,43
03-09-20,8:00:01,79
03-09-20,8:15:01,140
03-09-20,8:30:01,89
03-09-20,8:45:01,51
03-09-20,9:00:01,40
03-09-20,9:15:01,65
03-09-20,9:30:01,111
03-09-20,9:45:01,139
03-09-20,10:00:01,53
03-09-20,10:15:01,127
03-09-20,10:30:01,74
03-09-20,10:45:01,71
03-09-20,11:00:01,106
03-09-20,11:15:01,118
03-09-20,11:30:01,60
03-09-20,11:45:01,139
03-09-20,12:00:01,133
04-09-20,1:00:02,80
04-09-20,1:15:02,88
04-09-20,1:30:02,51
04-09-20,1:45:02,78
04-09-20,2:00:02,33
04-09-20,2:15:02,112
04-09-20,2:30:02,114
04-09-20,2:45:02,98
04-09-20,3:00:02,58
04-09-20,3:15:02,42
04-09-20,3:30:02,133
04-09-20,3:45:02,85
04-09-20,4:00:02,84
04-09-20,4:15:02,44
04-09-20,4:30:02,55
04-09-20,4:45:02,108
04-09-20,5:00:02,109
04-09-20,5:15:02,51
04-09-20,5:30:02,43
04-09-20,5:45:02,103
04-09-20,6:00:02,99
04-09-20,6:15:02,131
04-09-20,6:30:02,109
04-09-20,6:45:02,38
04-09-20,7:00:02,120
04-09-20,7:15:02,93
04-09-20,7:30:02,55
04-09-20,7:45:02,68
04-09-20,8:00:02,85
04-09-20,8:15:02,68
04-09-20,8:30:02,130
04-09-20,8:45:02,64
04-09-20,9:00:02,37
04-09-20,9:15:02,150
04-09-20,9:30:02,64
04-09-20,9:45:02,47
04-09-20,10:00:02,119
04-09-20,10:15:02,119
04-09-20,10:30:02,108
04-09-20,10:45:02,52
04-09-20,11:00:02,67
04-09-20,11:15:02,63
04-09-20,11:30:02,144
04-09-20,11:45:02,121
04-09-20,12:00:02,144
