Mean,Standard_Deviation, Entropy,RMS,Variance,Smoothness,Kurtosis,Skewness,IDM,ACTIVITY
1079.222857,2344.402313,0.591672779,2423.998676,5496222.205,0.999867647,1.972993384,0.707829399,6430.960448,3
763.5814286,1757.826111,0.591672779,1797.661656,3089952.636,0.999812947,2.778386701,1.004611776,4936.995678,2
948.1671429,2078.442158,0.591672779,2145.18322,4319921.804,0.999849356,2.624279171,0.977329082,5932.089615,2
2241.474286,4704.842309,0.591672779,4898.727178,22135541.15,0.99993627,1.951285639,0.762092045,12506.60745,4
2841.115714,5780.306306,0.591672779,6058.939269,33411940.99,0.99994972,3.068472718,1.219648283,13747.11232,4
1885.89,3679.383897,0.591672779,3893.644323,13537865.86,0.999924255,1.888235283,0.827019061,10368.02145,5
4583.731429,9680.680179,0.591672779,10066.68884,93715568.73,0.999968835,3.925732706,1.535096736,20526.85745,3
6856.175714,14758.12409,0.591672779,15287.07847,217802226.5,0.999979164,4.572414636,1.797148111,28429.09049,3
10006.91429,22557.03822,0.863120569,23157.49855,508819973.4,0.999985724,4.658200624,1.824131628,41256.13937,0
22850.07143,52359.22386,0.591672779,53590.79117,2741488324,0.999993748,5.064879659,1.996809726,84610.10675,4
2923.922857,6259.558257,0.863120569,6491.067396,39182069.57,0.999951144,3.227629722,1.24571308,14186.73245,0
5329.49,11155.9277,0.591672779,11622.3466,124454722.9,0.999973196,3.758312087,1.478337439,24358.14937,5
10603.67143,25194.84648,0.863120569,25622.94359,634780289,0.999986528,4.823859208,1.887596994,42518.80724,0
2034.018571,4355.976125,0.863120569,4516.759092,18974528.01,0.999929771,2.356480224,0.877563537,10760.02457,0
2553.955714,5402.889675,0.591672779,5616.380756,29191216.84,0.999944067,2.109137924,0.811400977,13913.10242,4
8860.167143,19402.88551,0.591672779,20029.79826,376471966,0.999983877,4.78399056,1.880696593,35355.52144,3
15081.71429,33674.05151,0.591672779,34632.47281,1133941745,0.999990528,4.883078257,1.92406341,60002.99104,3
1686.267143,3418.130027,0.863120569,3585.808445,11683612.88,0.999915289,1.884708256,0.763851489,9515.723199,0
1608.397143,3680.798717,0.863120569,3768.255845,13548279.2,0.999911188,2.221587291,0.76398542,10102.861,0
16436.97143,38848.55157,0.863120569,39544.69075,1509209959,0.999991309,5.021183087,1.976296571,61979.01041,0
2731.341429,5880.608809,0.863120569,6091.105246,34581559.97,0.9999477,2.893621477,1.110933321,13751.42484,0
17755.22857,41280.07589,0.591672779,42140.9285,1704044665,0.999991954,4.918064358,1.932748775,69548.5761,3
1178.412857,2478.1784,0.591672779,2579.280274,6141368.182,0.999878786,1.982750184,0.764296232,6940.243421,2
691.6788571,1518.323114,0.591672779,1566.651021,2305305.077,0.999793506,3.735902028,1.456950658,4444.841576,3
23020.34286,54184.96027,0.591672779,55195.25447,2936009919,0.999993794,5.02519983,1.978666405,87028.46729,4
